CHEMONTID:0000000	Organic compounds
CHEMONTID:0000001	Inorganic compounds
CHEMONTID:0000002	Organoheterocyclic compounds
CHEMONTID:0000003	Thiepanes
CHEMONTID:0000004	Organosulfur compounds
CHEMONTID:0000005	Pyrroloquinoline quinones
CHEMONTID:0000006	Benzoxazolines
CHEMONTID:0000007	Amidines
CHEMONTID:0000008	Cembrane diterpenoids
CHEMONTID:0000009	Sulfines
CHEMONTID:0000010	Sulfenes
CHEMONTID:0000011	Carbohydrates and carbohydrate conjugates
CHEMONTID:0000012	Lipids and lipid-like molecules
CHEMONTID:0000013	Amino acids, peptides, and analogues
CHEMONTID:0000014	Phenylbutylamines
CHEMONTID:0000015	Dibenzofurans
CHEMONTID:0000016	Allenes
CHEMONTID:0000017	Cycloalkenes
CHEMONTID:0000018	Anthracenes
CHEMONTID:0000019	Dibenzocycloheptenes
CHEMONTID:0000020	Fluorenes
CHEMONTID:0000021	Indenes and isoindenes
CHEMONTID:0000022	Naphthacenes
CHEMONTID:0000023	Naphthalenes
CHEMONTID:0000024	Pentacenes
CHEMONTID:0000025	Phenanthrenes and derivatives
CHEMONTID:0000026	Purine ribonucleoside bisphosphates
CHEMONTID:0000027	Indanes
CHEMONTID:0000028	Pyridoxals and derivatives
CHEMONTID:0000029	Cinnamaldehydes
CHEMONTID:0000030	Hydroxyeicosatrienoic acids
CHEMONTID:0000031	Benzenesulfonamides
CHEMONTID:0000032	Benzenesulfonic acids and derivatives
CHEMONTID:0000033	Benzyl alcohols
CHEMONTID:0000034	Sulfobenzoic acids
CHEMONTID:0000035	Halobenzenes
CHEMONTID:0000036	Nitrobenzenes
CHEMONTID:0000037	Styrenes
CHEMONTID:0000038	Sulfanilides
CHEMONTID:0000039	Sulfamic acid derivatives
CHEMONTID:0000040	Indanediones
CHEMONTID:0000041	Biphenyls and derivatives
CHEMONTID:0000042	Diphenhydramines
CHEMONTID:0000043	Biphenylbenzimidazoles
CHEMONTID:0000044	Biphenyltetrazoles and derivatives
