QDYWROGINJISOM-UHFFFAOYSA-N	Indolyl carboxylic acids and derivatives	CHEMONTID:0001290
NYZDHGPFNPXPCM-UHFFFAOYSA-N	Indoles and derivatives	CHEMONTID:0000211
NYIGHGXJJVOYCQ-UHFFFAOYSA-N	Naphthalenes	CHEMONTID:0000023
NBSNSQJYXCXGLK-UHFFFAOYSA-N	Indolecarboxylic acids and derivatives	CHEMONTID:0002013
FUPJJUHCLDXVGX-UHFFFAOYSA-N	Indolecarboxylic acids	CHEMONTID:0002406
DHLXQJRATUXKKM-UHFFFAOYSA-N	Alpha amino acid amides	CHEMONTID:0002309
HNPMYKAKAHPOGD-UHFFFAOYSA-N	Arginine and derivatives	CHEMONTID:0004320
HNPMYKAKAHPOGD-UHFFFAOYSA-N	Arginine and derivatives	CHEMONTID:0004320
HNPMYKAKAHPOGD-UHFFFAOYSA-N	Arginine and derivatives	CHEMONTID:0004320
WRDMYTORSDPYMO-UHFFFAOYSA-N	Heterocyclic fatty acids	CHEMONTID:0001989
QAWYVDUSIDSFJS-UHFFFAOYSA-N	Phenylsulfates	CHEMONTID:0002626
VPOWSDDTEVCUHB-UHFFFAOYSA-N	Long-chain fatty alcohols	CHEMONTID:0002951
VPOWSDDTEVCUHB-UHFFFAOYSA-N	Long-chain fatty alcohols	CHEMONTID:0002951
UQLUDWPXLQYZPI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GXOMYOBVNIEGOJ-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
LYAXSIILSNSOAC-UHFFFAOYSA-N	Alanine and derivatives	CHEMONTID:0004314
RXLBUCFYARAGTF-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
WMBUWYNHGJOPJX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IBMCIGKWZYVHGV-UHFFFAOYSA-N	N-acyl-alpha amino acids	CHEMONTID:0002402
YGBZYSCFBQCFPX-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
UYKWILYUCWQRIZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VSNYARIUVHRANC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
COPTUZWGMGZNCV-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XRSCTMWWIMZGPG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
WBXOZFPMOFZWAZ-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
QBJHQDVYHDALCT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RUOSLXWMYMDMJN-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
OOUDSBCFIGYGNP-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DBSYUAOAPVVJNC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZJQLVGGVXRDCMH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QZMNKEIFWVWTBV-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
HLDKMGBIINYSCX-UHFFFAOYSA-N	Acylaminosugars	CHEMONTID:0000146
QMUSKHOWEPLEMQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IVERFAFYXPIJEK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QDCMDWDNQYPISM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RIANHDLXJPMCJD-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
MWKOCMVMTHRMGZ-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
IJKZLKNZTRHIPP-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
MBSAWZUICUHZLZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LGWYTFSUCJCCBY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AVWPCZKUNPKWIA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HRERQOCNIAHCQT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
TXJJCTLFGFEMBO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MYFSFYAXAJRLMM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
STAHSYNZRPCCBS-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
YNDWNSAYDLUGLN-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
NOQRDLSNYZOTLA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HQWLCPZOEJPMAV-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XLNGSDZFZVGPSU-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
QQGVSLNSHPCJBE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GNCMXWAFKRXWIH-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
YUXFWZXDBHVVQM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YYGIEANSABDWCJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
JZFRSNSYBLHOKZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LVAZEFDAJKOOBC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NPLFPBDKJIXPAO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IYFKEJVCYSHFEW-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OUDZUUPRLTVIEH-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
TWTRJAQFAIKDTN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
PUHCEECKGNWXGS-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
KRBOJXZSNWQLAN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RAYABCREHJFSJS-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
ZYRDUEZOLOZMGU-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
